source_id,field,id,ra,dec,grizliv,pixscale,f_r02,f_r05,ratio_r05_r02,measurable,reason
1513,primer-uds-north,78467,34.202284004467685,-5.095347047843544,1.12.10,0.049999999999996804,39.92081365803194,52.675857017919334,1.3195086019325442,True,
2387,primer-uds-north,68278,34.20511692921506,-5.1097009040359325,1.12.10,0.049999999999996804,1.243656035595067,3.222519191940399,2.5911659652730923,True,
2583,primer-uds-north,74752,34.205808284634855,-5.100499778536657,1.12.10,0.049999999999996804,16.20131776518553,20.471931689731647,1.263596701604304,True,
3384,primer-uds-north,67083,34.208561247564006,-5.111142873470747,1.12.10,0.049999999999996804,6.643096148610899,7.91323004161737,1.1911960725229098,True,
3913,primer-uds-north,57780,34.21037929204147,-5.12466446200946,1.12.10,0.049999999999996804,2.4472498609617777,6.5511284021675245,2.6769348347589275,True,
3938,primer-uds-north,79413,34.21047694195797,-5.093208225991601,1.12.10,0.049999999999996804,16.675380211949935,35.239512769473585,2.113265923869022,True,
4531,primer-uds-north,59159,34.21236614893534,-5.122698666059626,1.12.10,0.049999999999996804,3.616333974216628,5.2885834379747525,1.4624156606333263,True,
4752,primer-uds-north,64438,34.21313276413496,-5.115335470803979,1.12.10,0.049999999999996804,1.1551232993140768,5.22662539248992,4.524733762701818,True,
5003,primer-uds-north,82791,34.213812850547654,-5.0870495031759395,1.12.10,0.049999999999996804,27.456684675354172,35.52342830483169,1.2937988954186606,True,
5765,primer-uds-south,48053,34.21606585099479,-5.241695565131261,1.12.10,0.049999999999996804,56.54063007987454,112.07497500212949,1.9822024417450246,True,
6341,primer-uds-north,56576,34.21765875158523,-5.12654959210229,1.12.10,0.049999999999996804,60.60710464167317,114.17530380695676,1.8838600603344173,True,
6636,primer-uds-north,40279,34.218345079845356,-5.149103880897524,1.12.10,0.049999999999996804,3.370208025375493,8.676687762024073,2.574525873979947,True,
6660,primer-uds-north,61449,34.218376243324194,-5.120628521864397,1.12.10,0.049999999999996804,6.691471475553156,18.85148106603383,2.8172399949557367,True,
6680,primer-uds-north,69961,34.21842685035793,-5.107163946153368,1.12.10,0.049999999999996804,8.448170502364864,9.981583546640186,1.1815082974291393,True,
7064,primer-uds-north,55500,34.21947312165382,-5.127735463201623,1.12.10,0.049999999999996804,4.932326770712223,5.420775386326084,1.0990300599129466,True,
7881,primer-uds-south,61263,34.22145526063376,-5.218897610511571,1.12.10,0.049999999999996804,12.219442161713047,24.683993581843,2.0200589564706073,True,
7890,primer-uds-north,83461,34.22146766439741,-5.085879148870657,1.12.10,0.049999999999996804,21.36805257037423,29.334234790230283,1.3728080597714731,True,
7969,primer-uds-north,30660,34.221652434878045,-5.162252178532786,1.12.10,0.049999999999996804,22.45716468920943,31.00195628467372,1.3804928945268868,True,
8880,primer-uds-south,36210,34.22375691512629,-5.260244247471578,1.12.10,0.049999999999996804,28.808459357370342,39.35032233252823,1.365929425256157,True,
10031,primer-uds-north,82275,34.22631161643675,-5.088099887284117,1.12.10,0.049999999999996804,16.99815357543114,19.69724787702478,1.158787499454933,True,
10777,primer-uds-north,76292,34.228100221315735,-5.098144040937109,1.12.10,0.049999999999996804,19.439673963249447,23.046081000610826,1.1855178766978944,True,
11017,primer-uds-south,32841,34.228676230211654,-5.265635232596268,1.12.10,0.049999999999996804,5.385837789417124,14.284658136286065,2.652262970926201,True,
11213,primer-uds-north,76768,34.229106229648664,-5.097388577588927,1.12.10,0.049999999999996804,10.476671048036087,10.968387548827454,1.0469344220637282,True,
11220,primer-uds-north,38348,34.22911475669836,-5.153371910826787,1.12.10,0.049999999999996804,37.37594686821688,73.04713965492569,1.954389006183072,True,
11305,primer-uds-north,28375,34.22927114073307,-5.165375152059147,1.12.10,0.049999999999996804,8.323148067465945,12.814989936925388,1.5396806392304183,True,
11723,primer-uds-north,85954,34.23019989917035,-5.080011395358681,1.12.10,0.049999999999996804,36.76280792564737,52.246899862365666,1.4211890443198683,True,
12019,primer-uds-south,43007,34.23089955977779,-5.249565895642767,1.12.10,0.049999999999996804,25.517432359897178,43.91525814203051,1.7209904790831183,True,
12260,primer-uds-south,35182,34.23139124865825,-5.261849167810831,1.12.10,0.049999999999996804,33.3956576722299,54.73125803437088,1.6388734898274682,True,
12608,primer-uds-north,46416,34.232229096999795,-5.140504091929434,1.12.10,0.049999999999996804,11.683523013000018,12.577577789652432,1.0765227042954097,True,
15034,primer-uds-north,39149,34.23776587761752,-5.151917645833718,1.12.10,0.049999999999996804,97.28043831582217,176.87945869140256,1.818242822027191,True,
16088,primer-uds-south,15920,34.240012511231996,-5.293800498124154,1.12.10,0.049999999999996804,34.87317006542451,41.2981876475086,1.1842395621054898,True,
17313,primer-uds-south,39748,34.242658722707425,-5.254388408205944,1.12.10,0.049999999999996804,6.965849317164511,6.93680122775962,0.9958299285439158,True,
17602,primer-uds-south,17641,34.24334205222971,-5.291224638893522,1.12.10,0.049999999999996804,295.1192126092874,708.5565401565686,2.4009163412028918,True,
18296,primer-uds-north,6771,34.2448179898586,-5.198787907564988,1.12.10,0.049999999999996804,6.379099183777922,4.812883962532028,0.7544770544987314,True,
18955,primer-uds-south,2966,34.24619586909063,-5.3184266256548005,1.12.10,0.049999999999996804,64.15814125537838,130.30909916408405,2.0310610097851023,True,
19063,primer-uds-south,10247,34.24644671968737,-5.303397230681752,1.12.10,0.049999999999996804,14.433124328623684,16.252671635873952,1.1260674588413093,True,
19293,primer-uds-north,470,34.24695308807694,-5.211322381337674,1.12.10,0.049999999999996804,4.6229304662410176,12.27501076240578,2.6552445147172627,True,
19571,primer-uds-north,17429,34.247581899023096,-5.182148495068171,1.12.10,0.049999999999996804,328.56420049519573,976.381755636716,2.971662019675794,True,
19679,primer-uds-north,38196,34.24782820081633,-5.15199712284704,1.12.10,0.049999999999996804,12.162273273714618,14.494006585639761,1.1917185430263715,True,
