sky_group,field,id,source_id,ra,dec,is_positive_row,offset_arcsec_from_positive_row,in_support,rule_selected,score_mean,sel_burden,sel_matched
24048,primer-uds-north,71609,25252,34.261899166352485,-5.105204769792637,True,0.0,True,True,0.9851246120379068,True,True
24048,primer-uds-north,71611,25242,34.261885022043565,-5.104998246299781,False,0.745212439543506,True,False,0.018905935713622497,False,False
24048,primer-uds-north,71610,25247,34.261893392370986,-5.105112361102521,False,0.33331491713788186,True,False,0.22387864843171135,False,False
48122,primer-uds-south,42814,50436,34.31057568854347,-5.2498971236997685,True,0.0,True,True,0.9811050504773693,True,True
48122,primer-uds-south,42888,50426,34.31055747811942,-5.249762150850045,False,0.4902681046223124,True,False,0.006659448343654387,False,False
73520,primer-uds-north,47411,77053,34.36071825381506,-5.139081331508376,True,0.0,True,True,0.9308964747493808,True,True
73520,primer-uds-north,47412,77067,34.36074043847568,-5.13900005835285,False,0.30320328216276815,True,False,0.010565007487617961,False,False
96578,primer-uds-north,54183,101065,34.41074855089838,-5.129664262749892,True,0.0,True,True,0.913304662971259,True,True
96578,primer-uds-north,54182,101112,34.410840237722454,-5.129707970211865,False,0.36446532707997464,True,False,0.025347250245897592,False,False
142725,primer-uds-north,8768,149161,34.515777719738026,-5.19516160998345,True,0.0,True,False,0.6352713391420598,False,False
142725,primer-uds-north,8769,149151,34.51573985817259,-5.195069594059589,False,0.35799055093256477,True,False,0.007662736749994732,False,False
191807,gds,11107,202262,53.120210213969315,-27.85633114139752,True,0.0,True,False,0.7171607712665381,False,False
191807,gds,11108,202141,53.12000657144836,-27.856444835973534,False,0.7665762895303037,True,False,0.4804745798016745,False,False
191807,gds-sw,40915,202185,53.12007736345692,-27.856347834668878,False,0.42709092269540705,True,False,0.02867241083460915,False,False
201424,gds,44120,212510,53.138597349752224,-27.790252310666542,True,0.0,False,True,,,
201424,gds,44119,212505,53.13864659429566,-27.790350240666072,False,0.38585826888886293,False,False,,,
220608,gds,53198,233452,53.16611546488844,-27.77204343776549,True,0.0,True,True,0.9796855325730994,True,True
220608,gds,53199,233365,53.165996743889444,-27.77199172113638,False,0.4215097933266,True,False,0.03799471438354686,False,False
292888,primer-cosmos-west,67730,312610,150.06783844986984,2.3033032831501887,True,0.0,True,True,0.9658050418992364,True,True
292888,primer-cosmos-west,67729,312720,150.06795176524346,2.303273024311261,False,0.42191066450464154,True,False,0.035377024406750314,False,False
473506,gdn,54665,506785,189.25446515082064,62.24925914343617,True,0.0,True,False,0.3324515171746367,False,False
473506,gdn,54663,506757,189.25437899281332,62.24937893100967,False,0.4547764197996763,True,False,0.030947048056666756,False,False
485064,gdn,27348,519153,189.29322467412425,62.19900029201744,True,0.0,True,False,0.3391774359056064,False,False
485064,gdn,27347,519114,189.29306910403525,62.19890563775614,False,0.42935424318317095,True,False,0.03814988065830782,False,False
559229,ceers-full,74332,597534,214.94918820232184,52.96414299435205,True,0.0,False,False,,,
559229,ceers-full,74242,597537,214.94920099933265,52.96401578010355,False,0.45881115147641643,False,False,,,
