rank,tier,status,ranking_score,score_std,score_percentile,field,id,source_id,ra,dec,sky_group,sky_group_size,mag_f444w,snr_f444w,r_h_arcsec,z_phot,ood_flag,n_features_outside_positive_range,disagreement_flag,nearest_list,nearest_list_sep_arcsec,n_archive_records,n_eligible_records,n_secure_lowz_records,n_secure_highz_records,archive_best_grade,archive_z_best_grade3,archive_gratings,archive_files,in_census,spec_tested,spec_vshaped,sel_labbe23,sel_kokorev24,sel_kocevski24,sel_perezgonzalez24,sel_barro23,sel_greene24,sel_akins24,m_f090w,m_f115w,m_f150w,m_f200w,m_f277w,m_f356w,m_f444w,asnr_f090w,asnr_f115w,asnr_f150w,asnr_f200w,asnr_f277w,asnr_f356w,asnr_f444w,c_f090w_f115w,c_f115w_f150w,c_f150w_f200w,c_f200w_f277w,c_f277w_f356w,c_f356w_f444w,c_f115w_f200w,c_f200w_f356w,c_f277w_f444w,slope_blue,slope_red,v_curv,log_rh,log_rh_over_rstar,n_snr_ge1,n_snr_ge3,archive_verdict,compactness_f444w,labbe_compactness,flux_d020,flux_d040,flux_d050,compactness_measurable,compactness_reason,compactness_mosaic,compactness_pixscale,compact_akins,compact_labbe,followup_tier
580,high_recall,untested,0.7729589,0.046014078,99.68762,primer-uds-south,64675,138675,34.49125462886255,-5.212234254133782,132694,1,26.411833854705066,11.311499626548237,0.1044549821173054,7.121864795684815,False,0,False,,,0,0,0,0,,,,,False,False,False,False,False,False,False,False,False,False,4.0305843,3.084484,2.845085,3.1297882,3.2681482,3.073908,2.510575,1.4396058,2.3150315,2.7153926,2.6997135,2.856815,3.0771718,3.1209152,0.9461003,0.23939933,-0.2847033,-0.13835995,0.19424005,0.563333,-0.045303974,0.05588009,0.757573,-0.38960734,-3.9316812,-3.5420737,-0.9810708,0.12962745,7.0,6.0,,0.6036631102209283,1.510087154728733,5.07651229842601,7.665976012675553,8.409512213804337,True,,primer-uds-south-grizli-v7.2-f444w-clear_drc_sci.fits,0.0399999999999996,True,True,False
581,high_recall,untested,0.7728688,0.041424725,99.68741,primer-cosmos-west,70260,309440,150.0646076997411,2.3084418422602924,290013,2,25.741107868263764,34.6479158917659,0.1338226033201686,3.8073244094848633,False,0,False,,,0,0,0,0,,,,,False,False,False,False,False,False,False,False,False,False,3.61848,4.897161,3.841823,2.8655307,2.3049371,1.854969,1.8407415,2.0592773,1.052377,2.2425525,3.133728,4.094648,4.255408,4.238593,-1.2786812,1.0553381,0.9762922,0.56059366,0.44996813,0.0142274685,2.0316303,1.0105618,0.4641956,-3.1795316,-2.2556238,0.9239076,-0.87347054,0.23387843,7.0,6.0,,0.4935016278228349,1.6817120583154967,7.0838376699741215,11.912975228745031,14.354233645035087,True,,primer-cosmos-west-grizli-v7.4-f444w-clear_drc_sci.fits,0.0399999999999996,False,True,False
582,high_recall,untested,0.7725395,0.047575932,99.68676,primer-uds-north,6383,150037,34.51926459530616,-5.199519399970052,143545,1,26.73004637924548,8.0578580341979,0.0838725815720953,7.332658290863037,False,0,False,,,0,0,0,0,,,,,False,False,False,False,False,False,False,False,False,False,4.9756904,3.5753336,3.4137385,4.3653526,3.7405252,4.3110037,2.8277874,0.55957127,0.9947962,2.1129498,1.4065256,2.2952235,1.6858644,2.7836232,1.4003569,0.16159508,-0.9516143,0.6248276,-0.5704786,1.4832163,-0.7900192,0.054349024,0.91273767,1.1529739,-4.9248686,-6.077842,-1.07638,0.030968977,6.0,3.0,,0.5486427911999535,1.626134721882888,4.119406221344038,6.698709490067925,7.508357509508796,True,,primer-uds-north-grizli-v7.2-f444w-clear_drc_sci.fits,0.0399999999999996,True,True,False
583,high_recall,untested,0.7722485,0.043451313,99.68655,ceers-full,15291,613775,215.0162649238864,52.88460888811773,574615,1,21.47588157288848,1201.9188201362206,0.1061440545088268,0.5439325571060181,False,2,False,,,0,0,0,0,,,,,False,False,False,False,False,False,False,False,False,False,0.42496783,-0.40735656,-1.1717188,-1.7111284,-1.8431652,-2.137615,-2.4241185,5.3882275,6.545893,7.1141024,7.430773,7.523054,7.666355,7.784822,0.8323244,0.7643623,0.53940946,0.13203688,0.2944499,0.2865035,1.3037717,0.42648676,0.58095336,-6.233568,-2.8936837,3.3398845,-0.97410434,0.124437355,7.0,7.0,,0.5378921771760644,1.6781544584831902,415.3383699804887,697.0019373618978,772.1591568053962,True,,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.0399999999999993,True,True,False
584,high_recall,untested,0.77195585,0.034095332,99.68633,gdn,42442,498743,189.23042733762105,62.22886355582576,466062,1,26.71676182018229,47.57110610818632,0.0822921430846566,2.6196155548095703,False,0,False,,,0,0,0,0,,,,,False,False,False,False,False,False,False,False,False,False,3.8504395,3.945395,3.8248758,3.020872,3.7421284,3.2269452,2.8145573,3.592129,3.2931712,3.2370794,4.339888,3.646114,4.3042264,4.5554833,-0.094955474,0.1205192,0.80400383,-0.72125626,0.5151831,0.4123879,0.92452306,-0.20607321,0.927571,-2.7480514,-4.5513577,-1.803306,-1.0846416,0.02270734,7.0,7.0,,0.6254033838405134,1.504456303672386,4.326058242223524,6.508365592567062,6.917228710305042,True,,gdn-grizli-v7.4-f444w-clear_drc_sci.fits,0.0399999999999996,True,True,False
585,high_recall,untested,0.7718278,0.040523566,99.68612,primer-uds-south,13233,99694,34.40799497262199,-5.298203024456512,95259,1,26.21261502002757,31.50408982483272,0.1195697356622466,5.548418521881104,False,0,False,,,0,0,0,0,,,,,False,False,False,False,False,False,False,False,False,False,3.1437857,2.8241372,3.0542886,2.6661515,2.6031973,2.1343591,2.3117425,2.6524203,3.3336382,3.286787,3.7593415,4.0918994,4.58043,4.1435165,0.31964844,-0.23015153,0.3881371,0.06295434,0.4688382,-0.17738344,0.15798558,0.5317925,0.29145476,-1.0644981,-1.4775051,-0.41300696,-0.9223787,0.18831956,7.0,7.0,,0.4381931278809491,1.9832377723417016,4.376593675329109,8.679825891104482,9.987819061640252,True,,primer-uds-south-grizli-v7.2-f444w-clear_drc_sci.fits,0.0399999999999996,False,False,False
586,high_recall,untested,0.7717164,0.036805745,99.68569,primer-uds-south,44727,28539,34.26958286703628,-5.246854252483006,27223,1,27.50078197714528,6.834126571104787,0.0248160579316294,5.140398025512695,True,3,False,,,0,0,0,0,,,,,False,False,False,False,False,False,False,False,False,False,5.3084526,7.4348564,5.3785357,6.6450095,4.0340624,3.9935222,3.591529,0.7041212,-1.5577754,0.8846905,-0.71597475,2.6215825,2.7050982,2.6203861,-2.1264036,2.0563204,-1.266474,2.6109474,0.040540233,0.4019933,0.7898466,2.6514876,0.44253352,0.44124418,-2.155171,-2.596415,-1.6052672,-0.4945689,4.0,3.0,,0.7181132210448137,1.2153241102131307,2.738054297820804,3.3276234032143064,3.812844851731168,True,,primer-uds-south-grizli-v7.2-f444w-clear_drc_sci.fits,0.0399999999999996,False,True,False
587,high_recall,untested,0.7711552,0.03686748,99.68548,primer-uds-north,4198,136946,34.4877961981819,-5.20355111246445,131018,1,26.436321435726743,10.010998689233087,0.1098384998539456,5.816853046417236,False,0,False,,,0,0,0,0,,,,,False,False,False,False,False,False,False,False,False,False,3.5428524,2.8984416,3.8474405,2.9702299,3.3408518,2.6261127,2.5350049,1.7837504,2.3887582,1.7219129,2.7491498,2.69671,3.402817,2.9993167,0.64441085,-0.94899887,0.8772106,-0.37062195,0.714739,0.09110798,-0.07178824,0.34411708,0.805847,-0.6384688,-3.6141868,-2.975718,-0.9592454,0.14810356,7.0,5.0,,0.5047857164403438,1.787436470396098,4.0437364514702745,7.22792201002807,8.010798086732647,True,,primer-uds-north-grizli-v7.2-f444w-clear_drc_sci.fits,0.0399999999999996,True,False,False
588,high_recall,untested,0.7710436,0.049558703,99.685265,primer-cosmos-west,48245,317356,150.07178064397772,2.258131652449121,296970,2,26.719705126719056,37.83239962366572,0.1270075900399933,7.164313316345215,False,0,False,,,0,0,0,0,,,,,False,False,False,False,False,False,False,False,False,False,4.743606,3.3356743,3.4141388,3.5902486,3.576113,3.4613018,2.8174887,1.7635937,3.496495,3.8254645,3.8521428,4.0402465,4.2191267,4.3264875,1.4079318,-0.0784645,-0.1761097,0.014135505,0.114811234,0.64381313,-0.2545742,0.12894674,0.7586243,0.68684095,-4.0008674,-4.687708,-0.8961703,0.21117865,7.0,6.0,,0.425657466131042,2.082534212029399,2.6011863362490866,5.417059537102131,6.110984872160778,True,,primer-cosmos-west-grizli-v7.4-f444w-clear_drc_sci.fits,0.0399999999999996,False,False,False
589,high_recall,untested,0.77025944,0.04150251,99.68504,primer-uds-south,56953,36081,34.28624752046473,-5.2264496790157375,34422,2,27.60254742801361,6.984327712061928,0.0350030847986067,17.914907455444336,True,5,False,,,0,0,0,0,,,,,False,False,False,False,False,False,False,False,False,False,7.1708946,5.7185774,7.20084,8.158753,3.7926178,3.7305346,3.6914153,-1.6641585,0.3762096,-1.5259869,-2.3783731,2.990183,3.077639,2.641902,1.4523174,-1.4822626,-0.9579135,4.3661356,0.062083263,0.03911902,-2.4401762,4.428219,0.10120229,3.6258848,-0.51950413,-4.1453886,-1.4558936,-0.34519538,3.0,3.0,,0.7317161400513812,1.078930396021042,2.23613723479286,2.4126364322924583,3.0560173712115164,True,,primer-uds-south-grizli-v7.2-f444w-clear_drc_sci.fits,0.0399999999999996,False,True,False
590,high_recall,untested,0.77016926,0.042307083,99.684616,primer-uds-south,51830,29320,34.271419649193284,-5.234967731343863,27973,1,27.076362608582084,6.939402687374948,0.0284789080888909,17.914907455444336,True,5,False,,,0,0,0,0,,,,,False,False,False,False,False,False,False,False,False,False,7.3805437,7.4014335,8.20874,6.372246,2.7411609,2.8096428,3.1720994,-1.4251525,-1.1018931,-2.0292103,-0.19842368,3.014296,3.4363894,2.6355145,-0.020890117,-0.8073068,1.8364944,3.6310852,-0.06848182,-0.36245656,1.0291877,3.5626032,-0.4309384,1.868286,1.7229726,-0.14531344,-1.5454767,-0.43477836,3.0,3.0,,1.0693064035601936,0.9319768971975464,6.09147053597491,5.677109809488172,5.696655809498299,True,,primer-uds-south-grizli-v7.2-f444w-clear_drc_sci.fits,0.0399999999999996,False,True,False
591,high_recall,untested,0.7697856,0.044535466,99.6844,primer-cosmos-east,54515,447142,150.2058930932716,2.3676553372482814,416864,1,27.05874457374501,10.612116035497964,0.1132856013872554,5.649764537811279,False,0,False,,,0,0,0,0,,,,,False,False,False,False,False,False,False,False,False,False,3.1829672,3.3479252,3.1382291,3.5303118,3.4592783,2.7859058,3.1546166,2.194834,2.3323913,2.7226543,2.278033,2.988764,3.3663974,3.057356,-0.16495793,0.20969607,-0.39208272,0.071033545,0.6733725,-0.3687108,-0.18238667,0.74440604,0.30466172,0.5695848,-1.5106372,-2.080222,-0.9458253,0.16319512,7.0,7.0,,0.4271250799892964,2.0756013778998925,1.9512358682572049,4.049987856762347,4.568300855351556,True,,primer-cosmos-east-grizli-v7.4-f444w-clear_drc_sci.fits,0.0399999999999996,False,False,False
592,high_recall,secure z>3 (V untested),0.7695334,0.106397964,99.683975,primer-uds-south,59057,56285,34.320361598556694,-5.222720525477084,53687,1,26.92704031952747,9.729005703726584,0.0963380306433013,1.5239808559417725,False,0,True,,,1,0,0,1,3.0,8.27177,G395M,excels-uds04-v4_g395m-f290lp_3543_63107.spec.fits,False,False,False,False,False,False,False,False,False,False,5.3693914,3.3857002,3.817493,3.7723923,3.9350424,3.5979915,3.0237978,0.50507516,2.4894516,2.28856,2.514704,2.5899856,2.9230115,2.9708898,1.9836913,-0.43179286,0.045100737,-0.16265024,0.33705097,0.57419384,-0.3866921,0.17440073,0.91124487,0.85082304,-4.7250953,-5.575918,-1.0162022,0.094496064,6.0,6.0,,0.5850377946638929,1.6079302990812967,3.2389110345157226,5.207943188426578,5.536242383069443,True,,primer-uds-south-grizli-v7.2-f444w-clear_drc_sci.fits,0.0399999999999996,True,True,False
593,high_recall,untested,0.7689068,0.027789248,99.68376,primer-uds-south,2966,18955,34.24619586909063,-5.3184266256548005,18002,1,23.417471502036584,94.74317396210482,0.2336476797444391,3.476332187652588,False,0,False,,,0,0,0,0,,,,,False,False,False,False,False,False,False,False,False,False,4.0751615,3.4488995,2.735218,1.8599206,0.7578085,0.12237649,-0.48253357,0.9702988,1.5212421,2.3419404,3.3472319,4.5654426,5.086019,5.2443447,0.62626225,0.7136813,0.87529755,1.102112,0.63543206,0.6049101,1.5889789,1.7375441,1.2403421,-6.844404,-6.2497997,0.59460455,-0.63143855,0.47925976,7.0,5.0,,0.300795727546891,2.6261772821545137,25.00772624271905,65.67472253696803,83.13856864479766,True,,primer-uds-south-grizli-v7.2-f444w-clear_drc_sci.fits,0.0399999999999996,False,False,False
594,high_recall,untested,0.7689003,0.03193266,99.68355,primer-cosmos-east,50450,384293,150.1269889297261,2.3527261666776464,356987,1,26.58618639552089,36.05606532190672,0.0815402849344991,3.283306360244751,False,0,False,,,0,0,0,0,,,,,False,False,False,False,False,False,False,False,False,False,4.769904,4.477378,4.0931354,3.4568002,2.9301813,3.1524596,2.684452,1.7478008,2.2403486,2.812334,3.5682862,4.34506,4.2078876,4.2784147,0.2925264,0.38424245,0.6363353,0.52661884,-0.22227828,0.4680075,1.0205778,0.30434057,0.24572924,-4.2883873,-1.0915035,3.1968837,-1.0886278,0.020392628,7.0,6.0,,0.6355537345048995,1.4940454271318462,5.085906122066706,7.598574784495622,8.002322771384012,True,,primer-cosmos-east-grizli-v7.4-f444w-clear_drc_sci.fits,0.0399999999999996,True,True,False
595,high_recall,untested,0.76888835,0.036485888,99.683334,primer-cosmos-east,41219,403238,150.14613530742187,2.319371255712497,374939,1,25.86708936289745,60.09374184264202,0.1184636915396957,5.556338787078857,False,0,False,,,0,0,0,0,,,,,False,False,False,False,False,False,False,False,False,False,3.2009296,2.710987,2.5789256,2.5591805,2.2033308,1.7638745,1.9666274,3.2147512,3.7203186,4.032459,4.5086904,4.8635955,5.203774,4.789122,0.48994237,0.13206151,0.019745234,0.35584965,0.43945625,-0.20275289,0.15180674,0.7953059,0.23670337,-1.0797635,-1.403959,-0.3241956,-0.9264147,0.18260567,7.0,7.0,,0.4412721259191509,1.9999433639241209,6.266163931403284,12.531972971870676,14.20022603592088,True,,primer-cosmos-east-grizli-v7.4-f444w-clear_drc_sci.fits,0.0399999999999996,False,False,False
