file,ra,dec,grating,root,version,z_best,grade,cand_rank,sep_arcsec,eligible,secure_lowz,secure_highz
gds-maseda-v4_g235m-f170lp_1671_37942.spec.fits,53.17180721,-27.73360799,G235M,gds-maseda-v4,0.9.5.dev2+g80b81b4,2.583172,,563,0.09665020272972674,False,False,False
gds-maseda-v4_g395m-f290lp_1671_37942.spec.fits,53.17180721,-27.73360799,G395M,gds-maseda-v4,0.9.5.dev2+g80b81b4,2.583172,,563,0.09665020272972674,False,False,False
gds-rieke-v4_g140m-f100lp_1207_188098.spec.fits,53.1443,-27.845527,G140M,gds-rieke-v4,0.9.5.dev2+g80b81b4,2.8766887,3.0,983,0.0028464331128135066,False,True,False
gds-rieke-v4_g140m-f100lp_1207_201793.spec.fits,53.188277,-27.801935,G140M,gds-rieke-v4,0.9.5.dev2+g80b81b4,-1.0,,778,0.006359419966219132,False,False,False
gds-rieke-v4_g140m-f100lp_1207_218515.spec.fits,53.158249,-27.740911,G140M,gds-rieke-v4,0.9.5.dev2+g80b81b4,5.74706,,223,0.01779928685012431,False,False,False
gds-rieke-v4_g140m-f100lp_1207_88612.spec.fits,53.162449,-27.830572,G140M,gds-rieke-v4,0.9.5.dev2+g80b81b4,5.64661,,888,0.02945944883999895,False,False,False
gds-rieke-v4_g235m-f170lp_1207_188098.spec.fits,53.1443,-27.845527,G235M,gds-rieke-v4,0.9.5.dev2+g80b81b4,2.8766887,3.0,983,0.0028464331128135066,False,True,False
gds-rieke-v4_g235m-f170lp_1207_201793.spec.fits,53.188277,-27.801935,G235M,gds-rieke-v4,0.9.5.dev2+g80b81b4,-1.0,2.0,778,0.006359419966219132,False,False,False
gds-rieke-v4_g235m-f170lp_1207_218515.spec.fits,53.158249,-27.740911,G235M,gds-rieke-v4,0.9.5.dev2+g80b81b4,5.74706,3.0,223,0.01779928685012431,False,False,True
gds-rieke-v4_g235m-f170lp_1207_88612.spec.fits,53.162449,-27.830572,G235M,gds-rieke-v4,0.9.5.dev2+g80b81b4,5.64661,3.0,888,0.02945944883999895,False,False,True
goodsn-wide1-v4_prism-clear_1211_2586.spec.fits,189.17234514,62.30572924,PRISM,goodsn-wide1-v4,0.9.5.dev2+g80b81b4,5.5874897,,226,0.410085217179748,False,False,False
goodsn-wide-v4_prism-clear_1211_1886.spec.fits,189.26076414,62.21731381,PRISM,goodsn-wide-v4,0.9.5.dev2+g80b81b4,2.4287283,3.0,1074,0.31200363051714264,False,True,False
goodsn-wide-v4_prism-clear_1211_5918.spec.fits,189.29539589,62.21989889,PRISM,goodsn-wide-v4,0.9.5.dev2+g80b81b4,2.4878628,3.0,305,0.03469997594300461,False,True,False
gto-wide-cos02-v4_g235h-f170lp_1214_2329.spec.fits,150.07581435,2.38067742,G235H,gto-wide-cos02-v4,0.9.5.dev2+g80b81b4,2.45157,3.0,1140,0.18680090443916983,False,True,False
gto-wide-cos02-v4_g235h-f170lp_1214_3730.spec.fits,150.09595406,2.40408193,G235H,gto-wide-cos02-v4,0.9.5.dev2+g80b81b4,2.4659224,3.0,1130,0.014749316514992639,False,True,False
gto-wide-cos02-v4_g395h-f290lp_1214_2329.spec.fits,150.07581435,2.38067742,G395H,gto-wide-cos02-v4,0.9.5.dev2+g80b81b4,2.45157,,1140,0.18680090443916983,False,False,False
gto-wide-cos02-v4_g395h-f290lp_1214_3730.spec.fits,150.09595406,2.40408193,G395H,gto-wide-cos02-v4,0.9.5.dev2+g80b81b4,2.4659224,,1130,0.014749316514992639,False,False,False
gto-wide-cos02-v4_prism-clear_1214_2329.spec.fits,150.07581435,2.38067742,PRISM,gto-wide-cos02-v4,0.9.5.dev2+g80b81b4,2.45157,3.0,1140,0.18680090443916983,False,True,False
gto-wide-cos02-v4_prism-clear_1214_3730.spec.fits,150.09595406,2.40408193,PRISM,gto-wide-cos02-v4,0.9.5.dev2+g80b81b4,2.4659224,3.0,1130,0.014749316514992639,False,True,False
gto-wide-cos03-v4_prism-clear_1214_4379.spec.fits,150.17079102,2.36853474,PRISM,gto-wide-cos03-v4,0.9.5.dev2+g80b81b4,-1.0,1.0,837,0.3084044157774492,False,False,False
gto-wide-cos04-v4_g235h-f170lp_1214_5214.spec.fits,150.13654183,2.26058631,G235H,gto-wide-cos04-v4,0.9.5.dev2+g80b81b4,2.9569092,3.0,697,0.11021451604264808,False,True,False
gto-wide-cos04-v4_g395h-f290lp_1214_5214.spec.fits,150.13654183,2.26058631,G395H,gto-wide-cos04-v4,0.9.5.dev2+g80b81b4,2.9569092,3.0,697,0.11021451604264808,False,True,False
gto-wide-cos04-v4_prism-clear_1214_4047.spec.fits,150.1780143,2.23938114,PRISM,gto-wide-cos04-v4,0.9.5.dev2+g80b81b4,-1.0,,15,0.07284379230241272,False,False,False
gto-wide-cos04-v4_prism-clear_1214_5214.spec.fits,150.13654183,2.26058631,PRISM,gto-wide-cos04-v4,0.9.5.dev2+g80b81b4,2.9569092,3.0,697,0.11021451604264808,False,True,False
gto-wide-egs2-v4_g235h-f170lp_1213_5041.spec.fits,214.76319878,52.78272674,G235H,gto-wide-egs2-v4,0.9.5.dev2+g80b81b4,2.94067995,3.0,1014,0.17603735627898945,False,True,False
gto-wide-egs2-v4_g395h-f290lp_1213_5041.spec.fits,214.76319878,52.78272674,G395H,gto-wide-egs2-v4,0.9.5.dev2+g80b81b4,2.94067995,3.0,1014,0.17603735627898945,False,True,False
gto-wide-egs2-v4_prism-clear_1213_5041.spec.fits,214.76319878,52.78272674,PRISM,gto-wide-egs2-v4,0.9.5.dev2+g80b81b4,2.94067995,3.0,1014,0.17603735627898945,False,True,False
gto-wide-uds10-v4_g235h-f170lp_1215_3470.spec.fits,34.51237978,-5.1892346,G235H,gto-wide-uds10-v4,0.9.5.dev2+g80b81b4,2.3026173,3.0,1106,0.01857959489921338,False,True,False
gto-wide-uds10-v4_g395h-f290lp_1215_3470.spec.fits,34.51237978,-5.1892346,G395H,gto-wide-uds10-v4,0.9.5.dev2+g80b81b4,2.3026173,3.0,1106,0.01857959489921338,False,True,False
gto-wide-uds10-v4_prism-clear_1215_3470.spec.fits,34.51237978,-5.1892346,PRISM,gto-wide-uds10-v4,0.9.5.dev2+g80b81b4,2.3026173,3.0,1106,0.01857959489921338,False,True,False
gto-wide-uds13-v4_g235h-f170lp_1215_112.spec.fits,34.38498666,-5.15643373,G235H,gto-wide-uds13-v4,0.9.5.dev2+g80b81b4,2.4755341,3.0,418,0.2874225254571346,False,True,False
gto-wide-uds13-v4_g395h-f290lp_1215_112.spec.fits,34.38498666,-5.15643373,G395H,gto-wide-uds13-v4,0.9.5.dev2+g80b81b4,2.4755341,3.0,418,0.2874225254571346,False,True,False
gto-wide-uds13-v4_prism-clear_1215_112.spec.fits,34.38498666,-5.15643373,PRISM,gto-wide-uds13-v4,0.9.5.dev2+g80b81b4,2.4755341,3.0,418,0.2874225254571346,False,True,False
gto-wide-uds14-v4_g235h-f170lp_1215_3436.spec.fits,34.26318455,-5.20473959,G235H,gto-wide-uds14-v4,0.9.5.dev2+g80b81b4,2.6686223,,123,0.024264170703372754,False,False,False
gto-wide-uds14-v4_g395h-f290lp_1215_3436.spec.fits,34.26318455,-5.20473959,G395H,gto-wide-uds14-v4,0.9.5.dev2+g80b81b4,2.6686223,3.0,123,0.024264170703372754,False,True,False
gto-wide-uds14-v4_prism-clear_1215_3436.spec.fits,34.26318455,-5.20473959,PRISM,gto-wide-uds14-v4,0.9.5.dev2+g80b81b4,2.6686223,3.0,123,0.024264170703372754,False,True,False
jades-gdn10-v4_g140m-f070lp_1181_27839.spec.fits,189.2445345,62.2497818,G140M,jades-gdn10-v4,0.9.5.dev2+g80b81b4,1.685942775,3.0,492,0.013140268606096345,False,True,False
jades-gdn10-v4_g235m-f170lp_1181_27839.spec.fits,189.2445345,62.2497818,G235M,jades-gdn10-v4,0.9.5.dev2+g80b81b4,1.685942775,3.0,492,0.013140268606096345,False,True,False
jades-gdn10-v4_g395h-f290lp_1181_27839.spec.fits,189.2445345,62.2497818,G395H,jades-gdn10-v4,0.9.5.dev2+g80b81b4,1.685942775,3.0,492,0.013140268606096345,False,True,False
jades-gdn10-v4_g395m-f290lp_1181_27839.spec.fits,189.2445345,62.2497818,G395M,jades-gdn10-v4,0.9.5.dev2+g80b81b4,1.685942775,3.0,492,0.013140268606096345,False,True,False
jades-gdn10-v4_prism-clear_1181_27839.spec.fits,189.2445345,62.2497818,PRISM,jades-gdn10-v4,0.9.5.dev2+g80b81b4,1.685942775,3.0,492,0.013140268606096345,False,True,False
jades-gdn198-v4_prism-clear_1181_10084465.spec.fits,189.2966539,62.1952486,PRISM,jades-gdn198-v4,0.9.5.dev8+ge2b237b,-1.0,,816,0.3502550943028391,False,False,False
jades-gdn2-v4_g235m-f170lp_1181_1129.spec.fits,189.1797527,62.2823871,G235M,jades-gdn2-v4,0.9.5.dev2+g80b81b4,-1.0,,181,0.07137133074642239,False,False,False
jades-gdn2-v4_g395m-f290lp_1181_1129.spec.fits,189.1797527,62.2823871,G395M,jades-gdn2-v4,0.9.5.dev2+g80b81b4,-1.0,,181,0.07137133074642239,False,False,False
jades-gdn2-v4_prism-clear_1181_70932.spec.fits,189.12087,62.29111,PRISM,jades-gdn2-v4,0.9.5.dev2+g80b81b4,-1.0,1.0,166,0.4724022442094856,False,False,False
jades-gds1-v4_g140m-f070lp_1286_37746.spec.fits,53.182003,-27.8141823,G140M,jades-gds1-v4,0.9.5.dev2+g80b81b4,2.613786525,3.0,1051,0.009632535368643018,False,True,False
jades-gds1-v4_g235m-f170lp_1286_37746.spec.fits,53.182003,-27.8141823,G235M,jades-gds1-v4,0.9.5.dev2+g80b81b4,2.613786525,3.0,1051,0.009632535368643018,False,True,False
jades-gds1-v4_g395h-f290lp_1286_37746.spec.fits,53.182003,-27.8141823,G395H,jades-gds1-v4,0.9.5.dev2+g80b81b4,2.613786525,3.0,1051,0.009632535368643018,False,True,False
jades-gds1-v4_g395m-f290lp_1286_37746.spec.fits,53.182003,-27.8141823,G395M,jades-gds1-v4,0.9.5.dev2+g80b81b4,2.613786525,3.0,1051,0.009632535368643018,False,True,False
jades-gds1-v4_prism-clear_1286_37746.spec.fits,53.182003,-27.8141823,PRISM,jades-gds1-v4,0.9.5.dev2+g80b81b4,2.613786525,3.0,1051,0.009632535368643018,False,True,False
jades-gds-w04-v4_g235h-f170lp_1212_6106.spec.fits,53.06241885,-27.86486111,G235H,jades-gds-w04-v4,0.9.5.dev2+g80b81b4,2.815082,,922,0.010581313867808322,False,False,False
jades-gds-w04-v4_g395h-f290lp_1212_6106.spec.fits,53.06241885,-27.86486111,G395H,jades-gds-w04-v4,0.9.5.dev2+g80b81b4,2.815082,3.0,922,0.010581313867808322,False,True,False
jades-gds-w04-v4_prism-clear_1212_6106.spec.fits,53.06241885,-27.86486111,PRISM,jades-gds-w04-v4,0.9.5.dev2+g80b81b4,2.815082,3.0,922,0.010581313867808322,False,True,False
jades-gds-w05-v4_g235h-f170lp_1212_4905.spec.fits,53.18595458,-27.81002616,G235H,jades-gds-w05-v4,0.9.5.dev2+g80b81b4,2.5913347333333334,,540,0.34245030013030553,False,False,False
jades-gds-w05-v4_prism-clear_1212_4905.spec.fits,53.18578844,-27.81002738,PRISM,jades-gds-w05-v4,0.9.5.dev2+g80b81b4,2.5913347333333334,3.0,540,0.18661693633183685,False,True,False
jades-gds-w08-v4_g235h-f170lp_1212_777.spec.fits,53.17190894,-27.73363777,G235H,jades-gds-w08-v4,0.9.5.dev2+g80b81b4,2.583172,,563,0.34004719768290187,False,False,False
jades-gds-w08-v4_prism-clear_1212_777.spec.fits,53.17174301,-27.73364153,PRISM,jades-gds-w08-v4,0.9.5.dev2+g80b81b4,2.583172,3.0,563,0.190580808264178,False,True,False
jades-gds-wide2-v4_g140m-f070lp_1180_5807.spec.fits,53.1858475,-27.8100343,G140M,jades-gds-wide2-v4,0.9.5.dev2+g80b81b4,2.5913347333333334,3.0,540,0.029024883518282286,False,True,False
jades-gds-wide2-v4_g235m-f170lp_1180_5807.spec.fits,53.1858475,-27.8100343,G235M,jades-gds-wide2-v4,0.9.5.dev2+g80b81b4,2.5913347333333334,3.0,540,0.029024883518282286,False,True,False
jades-gds-wide2-v4_g395m-f290lp_1180_5807.spec.fits,53.1858475,-27.8100343,G395M,jades-gds-wide2-v4,0.9.5.dev2+g80b81b4,2.5913347333333334,3.0,540,0.029024883518282286,False,True,False
jades-gds-wide2-v4_prism-clear_1180_105924.spec.fits,53.1870346,-27.7757435,PRISM,jades-gds-wide2-v4,0.9.5.dev2+g80b81b4,-1.0,,925,0.43095947501160614,False,False,False
jades-gds-wide2-v4_prism-clear_1180_5807.spec.fits,53.1858475,-27.8100343,PRISM,jades-gds-wide2-v4,0.9.5.dev2+g80b81b4,2.5913347333333334,3.0,540,0.029024883518282286,False,True,False
jades-gds-wide-v4_g140m-f070lp_1180_14279.spec.fits,53.160581,-27.776188,G140M,jades-gds-wide-v4,0.9.5.dev2+g80b81b4,2.5427793666666667,3.0,1105,0.235580660160235,False,True,False
jades-gds-wide-v4_g235m-f170lp_1180_14279.spec.fits,53.160581,-27.776188,G235M,jades-gds-wide-v4,0.9.5.dev2+g80b81b4,2.5427793666666667,3.0,1105,0.235580660160235,False,True,False
jades-gds-wide-v4_g395m-f290lp_1180_14279.spec.fits,53.160581,-27.776188,G395M,jades-gds-wide-v4,0.9.5.dev2+g80b81b4,2.5427793666666667,3.0,1105,0.235580660160235,False,True,False
jades-gds-wide-v4_prism-clear_1180_14279.spec.fits,53.160581,-27.776188,PRISM,jades-gds-wide-v4,0.9.5.dev2+g80b81b4,2.5427793666666667,3.0,1105,0.235580660160235,False,True,False
mom-uds01-v4_prism-clear_5224_134986.spec.fits,34.38505621,-5.15639402,PRISM,mom-uds01-v4,0.9.4,2.4755341,3.0,418,1.8980241477141276e-05,False,True,False
mom-uds02-v4_prism-clear_5224_164129.spec.fits,34.24468766,-5.1154211,PRISM,mom-uds02-v4,0.9.4,2.990496,3.0,124,1.6153006180895672e-05,False,True,False
rubies-egs51-v4_prism-clear_4233_925765.spec.fits,215.066322,52.9373846,PRISM,rubies-egs51-v4,0.9.5.dev2+g80b81b4,-1.0,1.0,356,0.0032231416087057517,False,False,False
rubies-egs52-v4_g395m-f290lp_4233_1473.spec.fits,215.04827519,52.88396213,G395M,rubies-egs52-v4,0.9.5.dev2+g80b81b4,8.83315,3.0,480,0.3731260000238246,False,False,True
rubies-egs53-v4_g395m-f290lp_4233_36473.spec.fits,214.79872904,52.77641197,G395M,rubies-egs53-v4,0.9.5.dev2+g80b81b4,5.2396545,3.0,1120,0.4724791621235794,False,False,True
rubies-egs53-v4_g395m-f290lp_4233_41260.spec.fits,214.7880214,52.78154376,G395M,rubies-egs53-v4,0.9.5.dev2+g80b81b4,5.6874,3.0,225,0.001663726147253494,False,False,True
rubies-egs53-v4_g395m-f290lp_4233_48676.spec.fits,214.76323147,52.78268109,G395M,rubies-egs53-v4,0.9.5.dev2+g80b81b4,2.94067995,3.0,1014,0.0031391636441406843,False,True,False
rubies-egs53-v4_g395m-f290lp_4233_54200.spec.fits,214.79997438,52.82208868,G395M,rubies-egs53-v4,0.9.5.dev2+g80b81b4,2.9526844,3.0,711,0.0003785553686065097,False,True,False
rubies-egs53-v4_prism-clear_4233_48676.spec.fits,214.76323147,52.78268109,PRISM,rubies-egs53-v4,0.9.5.dev2+g80b81b4,2.94067995,3.0,1014,0.0031391636441406843,False,True,False
