source_id,field,id,mosaic,pixscale,compactness_f444w,labbe_compactness,flux_d020,flux_d040,flux_d050,measurable,reason
559075,ceers-full,67721,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.5236641580135944,1.7290136612960725,14.232160970165094,24.60760074718021,27.178031477563188,True,None
630773,ceers-full,4719,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.5309487151915127,1.697361896985184,9.588728586860142,16.275542543868994,18.059613504105567,True,None
565973,ceers-full,64015,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.5873730356571889,1.5727391554736625,6.647545093595764,10.45485445647489,11.317416173451141,True,None
553915,ceers-full,54661,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.6025029448219742,1.5775755135528382,4.331788794578926,6.833723932210279,7.189655804684689,True,None
626857,ceers-full,29242,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.6219621348913682,1.4696786396875825,2.5760819755140787,3.7860126534972314,4.141863034739272,True,None
574501,ceers-full,14356,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.6185390409717679,1.5229576143889771,6.473048356172204,9.85817828234051,10.465060291105626,True,None
572886,ceers-full,77189,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.5132625285420698,1.7533078939611817,24.11177606801578,42.275367317476366,46.97747200931588,True,None
576471,ceers-full,51887,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.3912583968179073,2.0106917770488333,2.030969638810955,4.083653952193027,5.190865308780002,True,None
550686,ceers-full,59200,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.4485615046217745,1.9747538820682524,8.684570907771112,17.14989011421801,19.360936723925768,True,None
573097,ceers-full,64511,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.47893983898293907,1.8852809034252134,29.78038823036275,56.144397227291876,62.17981008554938,True,None
598258,ceers-full,50569,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.6411893602837107,1.4683021903630051,3.0212338578221853,4.436084291039187,4.711921383856655,True,None
560029,ceers-full,39079,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.5328852456615221,1.7395052493439658,3.0379868285961478,5.284594035780826,5.701015093455629,True,None
566311,ceers-full,52656,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.5924548499699624,1.5447476850354431,3.759824239897226,5.807979790721385,6.346178514848599,True,None
593905,ceers-full,18915,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.5923481050406145,1.6288929515524693,2.5621078420559478,4.1733994050422405,4.325341501481255,True,None
551939,ceers-full,37018,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.6959050608370945,1.4060247266284651,2.910078271288602,4.091642005855993,4.18171735637058,True,None
572098,ceers-full,37847,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.5652746724975108,1.6051559722595146,21.73128299243836,34.882098680174046,38.44375849429916,True,None
619017,ceers-full,22081,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.6583413183286534,1.4033440111724618,1.949929392257058,2.7364217348331,2.9618821392030954,True,None
625910,ceers-full,19516,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.6040136824313717,1.5311142969768186,23.228295036049985,35.565174624091796,38.45657095473031,True,None
564579,ceers-full,17824,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.5330007836631189,1.7266522624223577,2.500013198244919,4.316653444835344,4.690449385577345,True,None
613918,ceers-full,11930,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.42427089912807614,2.065553226178882,3.6353265110537833,7.508960403120761,8.568408812682613,True,None
601408,ceers-full,14280,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.4948393392626959,1.7993967525785877,4.581038779156481,8.24310630265075,9.257628518343283,True,None
609693,ceers-full,38405,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.5662309170263922,1.6152801546068627,14.175585421737464,22.89754181166688,25.03499013473462,True,None
574135,ceers-full,75404,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.5676631323845927,1.6229499009866308,11.070826750688475,17.967397178870005,19.502458622216764,True,None
565084,ceers-full,71893,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.6720714391495906,1.4493425236748336,3.654103920437972,5.296048197817674,5.437076637361221,True,None
594922,ceers-full,12791,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.4640454637469466,1.9154056007071092,23.942567950069854,45.85972874687433,51.59530653902959,True,None
597585,ceers-full,59106,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.5057001216766482,1.824112736373411,2.318757131393375,4.22967441593133,4.585241395049576,True,None
609918,ceers-full,33413,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.5791138896438275,1.572899665153389,9.787791853458193,15.395214528895462,16.901324641821283,True,None
597740,ceers-full,80587,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.5187067912104251,1.7473597314223597,5.024764315015134,8.780070823945502,9.687099533224977,True,None
620376,ceers-full,9887,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.34541796268977243,2.4730408609775174,1.8191316485189148,4.498786898284668,5.266465108975,True,None
589472,ceers-full,46333,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.5443719153472482,1.68193999208681,6.494551484596636,10.923445872609847,11.930357355878364,True,None
583677,ceers-full,37530,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.49199433437623574,1.94485554961917,2.0339497091865932,3.9557383795578427,4.134091730477531,True,None
599540,ceers-full,43601,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.3781503699600202,2.2217901167191316,1.8954974179253234,4.211397429413117,5.012549420818296,True,None
557952,ceers-full,44782,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.6184372532703605,1.566883306648305,2.782191740789135,4.359369794537284,4.498745387792562,True,None
629266,ceers-full,18582,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.4417046212694658,2.0237941036104257,4.978193233367663,10.074838112322796,11.270412383416456,True,None
599840,ceers-full,12866,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.5064793112594672,1.7766754020050022,1.5114258869940689,2.6853131953759544,2.984180900174562,True,None
568520,ceers-full,73248,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.541443783255562,1.7075788463263188,1.6342616720749847,2.7906306605971234,3.0183404493973325,True,None
607577,ceers-full,15619,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.38572602216791585,2.2261685636027693,5.614718025174753,12.499308761137856,14.5562334467819,True,None
617603,ceers-full,66557,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.618643097435124,1.4950994995337457,14.197276480222909,21.22634096032349,22.949058251978236,True,None
593227,ceers-full,67083,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.5121800322473057,1.7012478650435592,4.189286692172301,7.127015041113521,8.179324511716825,True,None
591021,ceers-full,81061,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.4873584387389278,1.7908633421502653,2.5760523426595294,4.613357707929265,5.285744819203778,True,None
611218,ceers-full,31133,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.5325996524254053,1.7721376945605773,2.4962259866065857,4.4236561650071975,4.686871227269908,True,None
589713,ceers-full,45167,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.49393777011359297,1.7835386125733266,1.3140736493260796,2.343701093338204,2.6604032508465116,True,None
586529,ceers-full,47120,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.7526262766662536,1.0887002172415177,3.054387713468927,3.3253125671934427,4.058305972252643,True,None
574712,ceers-full,33515,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.5869372335877805,1.5689613140202554,31.00214761407531,48.641170258029526,52.82020945334817,True,None
562449,ceers-full,47720,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.5163488986314614,1.6674040641214083,10.758289398387408,17.938415465865425,20.83531005275955,True,None
623086,ceers-full,24450,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.44773105566300675,1.9683831924802353,3.1823206082014064,6.264026398267128,7.107661101347949,True,None
610228,ceers-full,68441,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.4874078670842338,1.8364142255678255,14.158535946715718,26.000936825762164,29.048640579838736,True,None
561978,ceers-full,8304,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.48441634808751505,1.804819593195327,2.3247438274741,4.195743208985153,4.799061461596482,True,None
560103,ceers-full,19143,ceers-full-grizli-v7.4-f444w-clear_drc_sci.fits,0.039999999999999356,0.5705221238469749,1.5954157987157351,1.976668634704147,3.1536083686328586,3.4646660525198634,True,None
