reason_excluded,tier,ranking_score,field,id,source_id,ra,dec,sky_group,picked,in_any_list,in_hviding25_B1,y,mag_f444w
rule-selected,equal_burden,0.99031293,primer-cosmos-west,28640,354576,150.10017942891923,2.2086917762685996,329976,True,False,False,,26.460967289729247
published-or-labelled,equal_burden,0.990292,primer-uds-north,37216,38930,34.29141201832419,-5.1533767054644475,37183,True,True,False,,26.16841533138124
published-or-labelled,equal_burden,0.99028796,primer-cosmos-west,57866,390726,150.13343497567104,2.2820757674788847,363080,True,True,False,,26.506926674928575
published-or-labelled,equal_burden,0.99027604,primer-uds-north,26315,116090,34.442882842872606,-5.168180183311331,111008,True,True,False,,24.85971988033866
rule-selected,equal_burden,0.99024147,gdn,54976,492994,189.21109023596298,62.25027266855563,460637,True,False,False,,25.479324248000562
published-or-labelled,equal_burden,0.9902336,ceers-full,45873,580427,214.8867923313792,52.85538114310341,543041,True,True,True,1.0,24.832962503447206
published-or-labelled,equal_burden,0.99022686,ceers-full,46532,592333,214.92952129556738,52.88791900602756,554294,True,True,True,1.0,26.243509786704124
published-or-labelled,equal_burden,0.99019146,primer-uds-north,38196,19679,34.24782820081633,-5.15199712284704,18703,True,True,True,1.0,25.99146972222338
published-or-labelled,equal_burden,0.9901902,primer-cosmos-west,15989,389576,150.1323023483862,2.169690377649035,361999,True,True,False,1.0,26.13885632842099
published-or-labelled,equal_burden,0.9901862,ceers-full,73652,591417,214.92575073836002,52.94566356682464,553423,False,True,False,1.0,26.159475505068418
published-or-labelled,equal_burden,0.9901546,gds-sw,62395,170694,53.06767519160437,-27.812326847778333,162614,True,True,False,,24.200733850725193
published-or-labelled,equal_burden,0.990144,primer-cosmos-east,57198,428171,150.17590688111324,2.3767540950394292,398649,True,True,False,,26.055143640577704
rule-selected,equal_burden,0.990138,primer-uds-north,41437,46748,34.30452028934294,-5.147586067300307,44627,True,False,False,,25.02578396625081
published-or-labelled,equal_burden,0.9901359,primer-uds-north,9974,151606,34.53126289621551,-5.192838097714156,145048,True,True,False,,25.386825188752635
published-or-labelled,equal_burden,0.99012494,primer-cosmos-west,87942,325710,150.0783345184622,2.3726858072306274,304479,True,True,False,,26.101776642337605
published-or-labelled,equal_burden,0.99007326,primer-cosmos-east,25997,376885,150.1196981338589,2.267013073366229,350054,True,True,False,,24.715251966360967
published-or-labelled,equal_burden,0.99007237,primer-uds-north,81606,25117,34.2616243186711,-5.089359979422734,23936,True,True,False,,25.04810047479269
published-or-labelled,equal_burden,0.99004596,primer-uds-north,71609,25252,34.261899166352485,-5.105204769792637,24048,True,True,True,1.0,25.80416935411546
published-or-labelled,equal_burden,0.99004203,primer-cosmos-west,105065,361493,150.10584949560592,2.446822718491724,336130,True,True,False,1.0,25.36170653725586
published-or-labelled,equal_burden,0.99004096,ceers-full,45658,559252,214.79536727592395,52.78884670441831,522940,True,True,True,1.0,23.404859634152782
published-or-labelled,equal_burden,0.99004084,primer-cosmos-west,14195,305338,150.05998252559357,2.165480524505742,286207,True,True,False,,26.255671286856323
rule-selected,equal_burden,0.99002284,primer-uds-south,29437,56568,34.3208771727871,-5.271048692076938,53962,True,False,False,,25.7581619758586
published-or-labelled,equal_burden,0.9900078,primer-cosmos-west,103340,346105,150.09381767845608,2.43855329615662,322491,True,True,False,1.0,25.744847663644883
published-or-labelled,equal_burden,0.98999405,primer-uds-south,41571,99286,34.407090962321334,-5.251665166486301,94870,True,True,True,,25.57658595862695
published-or-labelled,equal_burden,0.989974,ceers-full,66240,603690,214.97244524152558,52.96219188451667,565075,True,True,True,1.0,26.114857591223778
